,TaxiCode,Latitude,Longitude,Bfa,Ownership,Type,Name
3439,E40,1.2758333333333334,103.85527777777777,Yes,LTA,Stand,Bayfront Ave outside Marina Bay MRT Station
3440,F01,1.3816666666666666,103.84444444444443,Yes,LTA,Stand,Ang Mo Kio Ave 6 outside Yio Chu Kang MRT Station
3441,F02,1.3697222222222223,103.84916666666666,Yes,LTA,Stand,Ang Mo Kio Ave 8 outside Ang Mo Kio MRT Station
3442,F03,1.350277777777778,103.84888888888888,Yes,Private,Stand,Bishan Place at Bishan Junction 8 shopping Centre
3443,F04,1.3511111111111112,103.8475,Yes,LTA,Stand,Bishan Rd opposite Bishan MRT Station (towards Ang Mo Kio)
3444,F05,1.3511111111111112,103.84805555555555,Yes,LTA,Stand,Bishan Rd outside Bishan MRT Station (towards Toa Payoh)
3445,F06,1.333888888888889,103.85027777777778,Yes,CCS,Stand,Toa Payoh Ctrl in front of Toa Payoh Community Library
3446,F07,1.3405555555555555,103.84583333333333,Yes,CCS,Stand,Lor 1 Toa Payoh in front of Blk 109 (near Braddell MRT Station)
3447,F08,1.3333333333333333,103.84694444444445,Yes,LTA,Stand,Lor 2 Toa Payoh in front of Blk 175
3448,F09,1.3308333333333333,103.84944444444444,Yes,Private,Stand,Lor 6 Toa Payoh along driveway of OrangeTee Building
3449,F10,1.3544444444444446,103.83111111111111,Yes,Private,Stand,Upp Thomson Rd along driveway of Thomson Plaza
3450,F11,1.3225,103.85472222222222,Yes,CCS,Stand,Whampoa Dr outside Blk 90 Market & Hawker Centre
3451,F12,1.3241666666666667,103.85055555555554,Yes,CCS,Stand,Balestier Rd outside Orange Valley Care Centre
3452,F14,1.3177777777777777,103.86333333333333,Yes,Private,Stand,Bendemeer Rd outside Blk 25/27 (Bendemeer Shopping Mall)
3453,F15,1.306388888888889,103.8625,Yes,Private,Stop,Kallang Rd along driveway of ICA building
3454,F16,1.3194444444444444,103.86166666666666,Yes,LTA,Stand,Serangoon Rd outside Boon Keng NEL Station (Ent B)(opp Blk 102)
3455,F19,1.3027777777777778,103.86138888888888,Yes,CCS,Stand,Jalan Sultan near Sultan Plaza
3456,F20,1.3025,103.86472222222221,No,Private,Stand,Beach Rd along driveway of Golden Mile Complex
3457,F21,1.2991666666666666,103.86305555555555,Yes,LTA,Stand,Republic Ave outside Nicoll Highway CCL Station (Ent A)
3458,F24,1.3030555555555556,103.85277777777777,Yes,CCS,Stop,Rochor Canal Rd outside Sim Lim Square
3459,F25,1.3158333333333334,103.83555555555554,Yes,LTA,Stand,Bukit Timah Rd along driveway of Balmoral Plaza
3460,F26,1.3052777777777778,103.84916666666666,Yes,LTA,Stand,Bukit Timah Rd outside Little India NEL Station (Ent A)
3461,F27,1.3066666666666666,103.84972222222221,Yes,LTA,Stand,Race Course Rd outside Little India NEL Station (Ent C) (outside Blk 661)
3462,F28,1.3119444444444446,103.85333333333332,Yes,LTA,Stand,Race Course Rd outside Farrer Park NEL Station(Ent C) outside Connexion
3463,F29,1.3122222222222222,103.85305555555556,Yes,LTA,Stand,Race Course Rd outside Farrer Park NEL Station (Ent D) (towards Rangoon Rd)
3464,F31,1.2774999999999999,103.81833333333333,Yes,CCS,Stand,Telok Blangah Cres opposite Blk 11 Market & Food Centre
3465,F32,1.2655555555555555,103.82138888888889,Yes,LTA,Stand,Telok Blangah Rd opposite Harbourfront NEL Station (Ent D) (opp Harbourfront Centre)
3466,F34,1.2808333333333333,103.83916666666666,Yes,LTA,Stand,Outram Rd outside Outram Park MRT Station
3467,F35,1.288333333333333,103.83472222222221,Yes,Private,Stand,Outram Rd along driveway of Holiday Inn Atrium & Shopping Centre
3468,F37,1.2841666666666665,103.8325,Yes,LTA,Stand,Seng Poh Rd outside Tiong Bahru Market
3469,F38,1.2825,103.81666666666666,Yes,CCS,Stand,Bukit Merah Ctrl outside Blk 165
3470,F39,1.273611111111111,103.82472222222222,Yes,CCS,Stand,Bukit Purmei Ave outside Blk 109
3471,F40,1.2888888888888888,103.81694444444445,Yes,LTA,Stand,Tiong Bahru Rd outside Redhill MRT Station
3472,F41,1.3019444444444446,103.79861111111111,Yes,LTA,Stand,Commonwealth Ave outside Commonwealth MRT Station (towards Alexandra Rd)
3473,F42,1.3019444444444446,103.79777777777778,Yes,LTA,Stand,Commonwealth Ave outside Commonwealth MRT Station (towards Clementi)
3474,F43,1.294722222222222,103.80527777777777,Yes,LTA,Stand,Commonwealth Ave outside Queenstown MRT Station (towards Clementi)
3475,F44,1.2938888888888889,103.80638888888889,Yes,LTA,Stand,Commonwealth Ave outside Queenstown MRT Station (towards Alexandra)
3476,F45,1.2877777777777777,103.80333333333333,Yes,CCS,Stand,Queensway outside Queenstown Neighbourhood Police Centre
3477,F46,1.306388888888889,103.79027777777777,Yes,LTA,Stand,North Buona Vista Rd outside Buona Vista CCL Station (towards Holland Road)
3478,F47,1.2930555555555554,103.825,Yes,CCS,Stand,Jervois Rd outside Sheares Ville
3479,F48,1.2994444444444444,103.82249999999999,Yes,Private,Stop,Chatsworth Rd outside Embassy of Republic of Indonesia
3480,F49,1.3047222222222223,103.83027777777778,No,LTA,Stand,Angullia Park beside Liat Towers
3481,F50,1.3069444444444445,103.82888888888888,Yes,CCS,Stop,Claymore Rd beside Orchard Towers
3482,F51,1.3069444444444445,103.82,Yes,Private,Stand,Napier Rd along Driveway of Gleneagles Hospital
3483,F53,1.311388888888889,103.83749999999999,Yes,LTA,Stand,Scotts Rd outside Newton MRT Station (towards Orchard)
3484,F54,1.3116666666666668,103.83749999999999,Yes,LTA,Stand,Scotts Rd outside Newton MRT Station (towards Newton Circus)
3485,F55,1.3061111111111112,103.82666666666667,Yes,Private,Stand,Tanglin Rd along driveway of Tanglin Shopping Centre
3486,F56,1.3047222222222223,103.82388888888889,No,Private,Stand,Tanglin Rd outside Tanglin Mall
3487,F57,1.3211111111111111,103.81444444444445,Yes,LTA,Stand,Cluny Park Rd outside Botanic Gardens CCL Station
3488,F58,1.337222222222222,103.83944444444444,Yes,LTA,Stand,Toa Payoh Rise outside Caldecott CCL Station
3489,F60,1.3066666666666666,103.7875,Yes,Private,Stand,Vista Exchange Green at The Star
3490,F61,1.2702777777777776,103.86194444444443,Yes,LTA,Stand,Marina Coastal Dr outside Marina South Pier MRT Station
3491,F63,1.3133333333333335,103.83777777777777,Yes,LTA,Stand,Bukit Timah Rd outside Newton DTL Station
3492,F64,1.3194444444444444,103.8261111111111,Yes,LTA,Stand,Robin Walk outside Stevens DTL Station
3493,F65,1.3222222222222222,103.81555555555555,Yes,LTA,Stop,Bukit Timah Rd outside Botanic Gardens DTL Station
3494,F66,1.3252777777777778,103.80749999999999,Yes,LTA,Stand,Bukit Timah Rd outside Tan Kah Kee DTL Station
3495,F67,1.326111111111111,103.80749999999999,Yes,LTA,Stop,Dunearn Rd opposite Tan Kah Kee DTL Station
3496,F68,1.3305555555555555,103.79666666666667,Yes,LTA,Stop,Bukit Timah Rd outside Sixth Ave DTL Station
3497,F69,1.3352777777777778,103.78305555555555,Yes,LTA,Stop,Bukit Timah Rd outside King Albert Park  DTL Station
3498,F74,1.3055555555555556,103.85527777777777,Yes,LTA,Stand,Jalan Besar outside Jalan Besar DTL Station (Ent B)
3499,F75,1.3133333333333335,103.86333333333333,Yes,LTA,Stop,Kallang Bahru outside Bendeemer DTL Station (Ent B)
3500,F76,1.3208333333333333,103.8711111111111,Yes,LTA,Stand,Geylang Bahru outside Geylang Bahru DTL Station (Ent A)
3501,G01,1.3322222222222222,103.86833333333333,Yes,LTA,Stand,Potong Pasir Ave 1 outside Potong Pasir NEL Station (Ent A) (in front of Blk 101)
3502,G02,1.3311111111111111,103.86916666666666,Yes,LTA,Stand,Upp Serangoon Rd outside Potong Pasir NEL Station (Ent B) (towards City)
3503,G03,1.338611111111111,103.87027777777777,Yes,LTA,Stand,Upp Serangoon Rd outside Woodleigh NEL Station (Ent B) (towards Serangoon)
3504,G04,1.3511111111111112,103.86444444444444,Yes,CCS,Stand,Serangoon Ave 3 outside Blk 267
3505,G05,1.350277777777778,103.87277777777777,Yes,LTA,Stand,Serangoon Ctrl outside Serangoon CCL Station (Ent E) (outside NEX Shopping Mall)
3506,G06,1.350277777777778,103.87416666666665,Yes,LTA,Stand,Upp Serangoon Rd outside Serangoon NEL Station (Ent C) (towards Kovan)
3507,G07,1.3491666666666666,103.87388888888889,Yes,LTA,Stand,Serangoon Ctrl outside Serangoon NEL Station (Ent A) (outside Blk 413)
3508,G08,1.3511111111111112,103.86444444444444,Yes,LTA,Stand,Serangoon Ave 3 outside Lorong Chuan CCL Station (Ent A)
3509,G09,1.3541666666666667,103.87694444444443,Yes,CCS,Stand,Yio Chu Kang Rd outside Space@Kovan
3510,G10,1.3591666666666669,103.88444444444445,Yes,LTA,Stand,Upp Serangoon Rd outside Kovan NEL Station (Ent C) (towards Serangoon)
3511,G11,1.3594444444444445,103.88416666666667,Yes,LTA,Stand,Upp Serangoon Rd opposite Kovan NEL Station(Ent A) (towards Hougang)
3512,G12,1.3711111111111112,103.89250000000001,Yes,LTA,Stand,Hougang Ctrl outside Hougang NEL Station (Ent B) (opp Hougang Central Bus Interchange)
3513,G13,1.3822222222222222,103.89305555555556,Yes,LTA,Stand,Sengkang Ctrl outside Buangkok NEL Station (Ent B) (towards Hougang)
3514,G14,1.373888888888889,103.89277777777778,Yes,LTA,Stand,Sengkang Ctrl outside Buangkok NEL Station (Ent A) (towards Sengkang)
3515,G15,1.385,103.90111111111112,Yes,LTA,Stand,Punggol Rd outside Rivervale Plaza
3516,G16,1.3922222222222222,103.89555555555556,Yes,LTA,Stand,Sengkang East Way outside Sengkang NEL Station (Ent D) (outside Compass Point)
3517,G17,1.3922222222222222,103.89583333333334,Yes,LTA,Stand,Sengkang East Way outside Sengkang NEL Station (outside Blk 257C)
3518,G18,1.3902777777777777,103.89500000000001,Yes,LTA,Stand,Sengkang Sq outside Sengkang NEL Station (Ent C) (near Kopitiam Square)
3519,G19,1.4055555555555554,103.90166666666667,Yes,Private,Stand,Punggol Ctrl at driveway of Waterway Point
3520,G20,1.4044444444444444,103.9025,Yes,LTA,Stand,Punggol Ctrl outside Punggol NEL Station (Ent C) (outside Punggol Bus Interchange)
3521,G21,1.4130555555555555,103.87194444444444,Yes,Private,Stop,"21 Seletar Aerospace Road 1, Singapore 797405 at Seletar Airport Passenger Terminal"
3522,G22,1.3719444444444444,103.94861111111112,Yes,CCS,Stand,Pasir Ris Ctrl outside Pasir Ris MRT Station
3523,G23,1.3722222222222222,103.94972222222222,Yes,Private,Stand,Pasir Ris Ctrl St 3 at White Sands Shopping Mall
3524,G24,1.4019444444444444,103.91305555555556,Yes,Private,Stand,Punggol Dr at Oasis Terraces
3525,H01,1.311388888888889,103.78777777777778,Yes,CCS,Stand,Ghim Moh Rd outside Blk 19
3526,H02,1.3097222222222222,103.79277777777777,Yes,LTA,Stand,Holland Dr opp Blk 18D
3527,H03,1.3097222222222222,103.79527777777777,Yes,CCS,Stand,Holland Ave outside Holland Road Shopping Centre
3528,H05,1.3169444444444445,103.80694444444444,Yes,LTA,Stand,Farrer Rd outside Farrer Road CCL Station
